asin,page,review_id,title,rating,author,date_text,body,verified_purchase,helpful_votes,variant,Flavor,Date,Month,sent_compound,sent_label
B07HRJ2VPK,7,customer_review-R2VKFLTZNBBQLR,4.0 out of 5 stars,4.0,Silverbullet875,"Reviewed in the United States on March 20, 2025","So, this is a giant bag! I was surprised exactly how big it was. The scoop is REALLY big. I really like the coffee flavor, but it is very strong. I've learned that I prefer to use less than a scoop in my drinks. There is a bit of sweetener aftertaste as well. But not enough to turn me off of it. I like to use it in almond milk as well as my overnight oats/chia pudding concoction I make. I mix it in with a frother and it blends with no problem using this method. No weird grittiness. This big bag should last me a long time!",False,1,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-20,2025-03-01,0.8923,pos
B07HRJ2VPK,8,customer_review-R2KIJJGMCSPA9O,3.0 out of 5 stars,3.0,Buttercup,"Reviewed in the United States on March 18, 2025","Boba Tea Protein has a whopping 25g of protein in each serving. The resealable bag holds 32 ounces of sandy colored powder made up of 100% grass-fed whey protein isolate, coconut oil creamer, 100% Vietnamese Robusta Coffee, monk fruit extract, and salt. To make a serving you just need to mix 1 scoop of powder with 8-10 ounces of chilled water and shake in a protein shaker cup. You can also use various combinations of milk (traditional or plant based) and water to change the consistency and make it creamier. I opted to use 10 ounces of chilled water. The powder dissolved easily and left no residue at the base of the cup. It had an intoxicating and inviting aroma of coffee. The drink is light and the initial flavor is a delicious coffee.  But the sip transforms and finishes on a very cloyingly sweet note that coated my palate and remained strong long after I had finished the drink. I am guessing this is from the inclusion of monk fruit extract. This is the part of the drink that I was not a fan of. There are 25 servings per bag with each 1 scoop serving (37.4g) containing 150 Calories, 3g Total Fat, 6g Total Carbohydrate, and 25g Protein. It is Manufactured in the USA. It is a soy-free, gluten free, and grain free product. The product that I received has a best by date of 20 months from the date that I received it. Overall, I loved that it had such a tasty coffee flavor but sadly the monk fruit extract overwhelmed this flavor and the drink finished on a cloyingly sweet note. I just wish that the drink was made with raw sugar as I think it would have been a better option.",False,1,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-18,2025-03-01,0.992,pos
B07HRJ2VPK,8,customer_review-R37ZREY33Y78AG,5.0 out of 5 stars,5.0,LineSol,"Reviewed in the United States on March 17, 2025","I'm a bubble tea head. And this protein shake doesn't make me feel guilty to enjoy it every single day. Honestly, it tastes strange to me at first. Perhaps because I'm not used to the monk fruit sweetener. But it grew on me, and now I'm really looking forward to it everyday. I don't like my drink too sweet. So my ratio is 5oz almond milk, 5 oz water, boba tea protein, cooked boba, ice. Shake for 30 seconds then enjoy!",True,2,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-03-17,2025-03-01,0.7451,pos
B07HRJ2VPK,8,customer_review-RX5A6OBNM4PP5,5.0 out of 5 stars,5.0,Samara,"Reviewed in the United States on March 12, 2025",This is the one protein powder I've drank that doesn't taste bad. It has a very mild and palatable flavor and I'm able to shake it smooth fairly easy compared to other protein powders. The ingredients are also very high quality so you definitely get what you pay for. I wish you could buy this in a bigger size because I like it so much I go through it like a bag of chips.,True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-03-12,2025-03-01,0.945,pos
B07HRJ2VPK,8,customer_review-R38SH9C62ZYR7A,5.0 out of 5 stars,5.0,Amazon Customer,"Reviewed in the United States on March 12, 2025","I got this and the taro flavor. I prefer taro but this is great as a morning coffee replacement whilst adding to my macros. You can’t even tell it's monk fruit sweetener nor can you taste the coconut creamer. Very creamy and smooth especially if you blend with ice. I just use an immersion blender to save on dishes. Highly recommend this product! Macros are great, nothing artificial. ** TIP: blend with ice and cacao powder (this neutralizes the stevia-ish taste and makes it smoother).",True,4,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-12,2025-03-01,0.9799,pos
B07HRJ2VPK,8,customer_review-R22OOONZ5807LT,5.0 out of 5 stars,5.0,brittani,"Reviewed in the United States on March 11, 2025","Love this item! Used to drink viet coffee everyday now I drink this! Definitely help to cut my regular coffee intake. I drink this everyday morning! Used to order from their website, so glad that it’s on Amazon now! Great protein shake! Good Marcos! 120 of calories and 25g of protein I mix this with almond milk! Not too sweet. One bag takes one month is finish so it’s a good value for $50.",True,2,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-11,2025-03-01,0.9759,pos
B07HRJ2VPK,8,customer_review-R30VBZMZAIZM8,4.0 out of 5 stars,4.0,K-Lyn,"Reviewed in the United States on March 10, 2025","This Boba Tea Protein Vietnamese Coffee has 25g of grass fed whey protein per serving and 25 servings per pack. This tastes like a protein coffee drink, which is great cause so many proteins taste odd. This one is nice and has a lighter coffee flavor. I like this cold, but instead of water, I like to make it with oat milk. Easy to use and shake up.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-10,2025-03-01,0.8847,pos
B07HRJ2VPK,8,customer_review-R3IT9TOKWASH6R,5.0 out of 5 stars,5.0,Kumo X.,"Reviewed in the United States on March 10, 2025",Love it! Taste yummy 😋! Not too sweet just perfect!,True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-03-10,2025-03-01,0.8933,pos
B07HRJ2VPK,8,customer_review-R17D683ZCI4Y2C,5.0 out of 5 stars,5.0,Dilly Dahlia,"Reviewed in the United States on March 9, 2025","I typically don't use whey protein mostly because I am not a fan of the taste. But vietnamese coffee is one of my favorite things, so I gave this a shot expecting to be doubly disappointed. But truthfully this may be the tastiest whey mix I have ever tried. Mixes well into water or milk and makes a delightful latte reminiscent of a pour over Viet coffee that is a nice midday treat with nutritive value.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-09,2025-03-01,0.9699,pos
B07HRJ2VPK,8,customer_review-RF8T878L17HSS,4.0 out of 5 stars,4.0,Kimberly,"Reviewed in the United States on March 9, 2025",This is a great way to get your intake of protein and caffeine! The coffee taste is a bit strong for me but that’s expected of Vietnamese coffee! I used half milk and half water and next time I might use a little less than a full scoop. I used a blender bottle and it mixed very well with no extra particles. This Boba tea protein is a very niche market and they have some other cool flavors I’m interested in.,False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-09,2025-03-01,0.9039,pos
